id_customer,recency,frequency,monetary
1296,165,0.1788,351.55
1297,2028,0.0066,26.17
1299,2322,0.0199,144.56
1306,1193,0.0066,24.29
1311,2791,0.0066,17.34
1315,2834,0.0066,55.38
1317,826,0.2318,380.16
1327,573,0.0199,5.22
1332,1862,0.0199,56.01
1336,2242,0.0199,188.42
1337,2275,0.0199,492.47
1342,2834,0.0066,71.21
1362,2519,0.0132,64.57
1375,949,0.0464,183.00
1399,2867,0.0132,8.16
1401,454,0.2384,254.24
1405,2553,0.0132,26.61
1408,1116,0.1987,295.31
1417,847,0.0066,16.66
1420,2841,0.0265,83.62
1425,566,0.0066,0.78
1427,2785,0.0199,54.79
1432,1743,0.0066,20.19
1448,1281,0.0530,65.17
1451,276,0.0397,17.49
1464,2205,0.0397,88.00
1465,570,0.0132,79.82
1467,2505,0.0199,55.56
1477,950,0.0530,74.79
1485,458,0.0132,24.93
1496,1014,0.4967,655.17
1503,2368,0.0662,318.33
1504,272,0.7219,526.27
1506,229,0.1987,426.22
1509,395,0.0596,71.24
1516,812,0.0331,29.91
1537,436,0.1000,229.14
1541,383,0.0267,220.33
1542,1488,0.0600,179.03
1552,1410,0.0200,437.65
1560,447,0.2067,632.90
1564,1476,0.0600,127.79
1567,2616,0.0067,26.63
1593,376,0.0200,30.07
1596,1698,0.0200,37.89
1601,2465,0.0467,84.18
1603,2789,0.0333,111.38
1608,2473,0.0133,11.36
1620,1062,0.0600,95.70
1621,1527,0.0733,195.40
1624,2574,0.0067,16.46
1625,136,0.0533,210.70
1638,602,0.1400,578.72
1639,2029,0.3600,598.42
1649,509,0.1800,173.89
1650,982,0.0133,25.65
1653,2666,0.0333,221.98
1655,2849,0.0067,191.00
1678,1334,0.0067,9.41
1679,698,0.0067,6.58
1680,2436,0.0133,18.54
1699,441,0.0467,124.07
1701,1607,0.0867,120.20
1704,2682,0.0467,250.31
1708,449,0.0333,66.59
1726,440,0.3267,553.00
1730,451,0.3533,660.81
1732,566,0.0467,65.52
1733,1547,0.1333,166.49
1736,917,0.0400,71.47
1740,394,0.1533,114.31
1744,1493,0.0600,26.03
1748,2854,0.0067,22.13
1754,242,0.1467,358.97
1759,933,0.0200,80.33
1761,2253,0.0133,62.43
1764,1645,0.0400,44.97
1766,1184,0.0600,29.51
1784,485,0.0067,25.84
1790,2382,0.0133,53.96
1793,231,0.1333,197.99
1800,716,0.0067,21.99
1801,1397,0.0336,76.90
1802,1503,0.0201,204.24
1806,2043,0.0134,87.56
1809,1154,0.0738,161.23
1821,1582,0.0604,92.72
1834,2423,0.0134,35.68
1835,532,0.0403,53.57
1837,227,0.1141,118.61
1839,1384,0.0134,28.83
1845,116,0.3893,391.15
1850,127,0.1477,242.64
1858,620,0.0067,14.98
1865,1383,0.1678,371.45
1871,367,0.0805,120.42
1872,461,0.0604,123.35
1874,1996,0.0336,25.29
1875,564,0.0067,16.24
1876,2229,0.0067,29.16
1877,774,0.0268,62.57
1887,2103,0.0805,246.60
1888,2316,0.0067,49.99
1898,565,0.0470,96.87
1913,1422,0.1342,261.06
1925,2340,0.0738,184.46
1930,1766,0.1007,584.80
1947,1477,0.1477,607.47
1949,839,0.1275,213.99
1950,2431,0.0940,165.39
1952,432,0.0067,23.97
1961,1698,0.0805,125.04
1962,350,0.0201,165.63
1973,1751,0.0268,53.70
1979,1587,0.0134,68.07
1981,393,0.1342,175.24
1984,634,0.1409,201.01
1989,1898,0.0134,40.88
1991,1636,0.0671,37.60
1995,111,0.1141,273.24
2005,2715,0.0067,31.63
2013,1064,0.0604,107.90
2015,470,0.0470,73.86
2016,2807,0.0134,49.98
2031,1363,0.0067,5.97
2040,1494,0.1007,130.81
2044,565,0.1611,240.61
2048,817,0.0537,290.91
2051,388,0.0134,29.68
2052,569,0.6644,1110.89
2054,2790,0.1208,333.70
2056,2149,0.0537,136.17
2060,391,0.0403,18.08
2064,487,0.1611,397.60
2065,1142,0.0470,94.84
2066,122,0.2148,525.63
2070,2433,0.0805,194.46
2075,2110,0.0134,62.86
2088,603,0.0805,72.05
2093,333,1.1745,6121.33
2094,2659,0.0067,44.96
2099,2239,0.0067,129.00
2105,1913,0.0336,129.88
2108,445,0.0604,127.78
2109,380,0.2013,352.28
2116,858,0.0604,198.32
2117,1887,0.0537,131.17
2130,1144,0.0738,210.88
2132,935,0.0067,4.70
2141,988,0.0336,121.06
2186,2022,0.0403,50.61
2194,1029,0.0201,139.68
2196,444,0.0134,30.61
2197,1911,0.0268,76.52
2199,2464,0.2685,961.65
2204,2463,0.0067,13.30
2208,469,0.0872,202.78
2209,400,0.0067,26.30
2211,1468,0.0470,44.19
2222,265,0.2349,319.21
2223,1558,0.0067,31.49
2224,522,0.2349,427.91
2227,774,0.5369,855.19
2229,1216,0.0134,86.20
2235,2510,0.0671,121.34
2236,1655,0.0201,55.83
2239,2643,0.0336,141.97
2240,373,0.0805,137.94
2244,1469,0.0201,149.17
2275,918,0.3356,717.55
2286,496,0.0470,66.75
2287,2634,0.0738,362.15
2289,2548,0.0067,3.33
2296,1019,0.0268,58.76
2297,1174,0.0403,162.92
2300,136,0.0336,78.72
2301,392,0.0336,42.92
2307,443,0.1141,128.19
2310,2225,0.0268,80.82
2321,1539,0.4094,1013.62
2328,2238,0.0336,1822.13
2330,2236,0.0201,59.13
2337,904,0.0268,97.72
2342,441,0.0134,35.42
2344,1184,0.1342,359.37
2345,2055,0.0067,28.30
2346,1918,0.0067,48.00
2352,149,0.2215,283.17
2354,2075,0.0268,43.12
2355,1138,0.0403,79.34
2356,575,0.0134,32.80
2366,516,0.0268,22.32
2369,1421,0.0134,94.18
2379,814,0.0201,627.62
2380,1287,0.1477,259.77
2385,2326,0.0336,97.83
2386,2819,0.0403,124.97
2387,2839,0.0201,65.50
2399,641,0.0604,863.87
2407,1908,0.0134,73.12
2428,2433,0.0067,21.65
2433,285,0.1409,120.51
2436,266,0.0403,103.98
2442,2406,0.0671,83.14
2445,292,0.0470,67.49
2448,1222,0.0604,132.58
2449,2362,0.0403,164.80
2456,1332,0.1216,217.36
2462,1389,0.0811,163.97
2463,1568,0.1014,219.50
2466,870,0.0811,110.49
2468,1163,0.0405,141.27
2474,716,0.1014,115.05
2476,1624,0.2703,556.30
2477,1855,0.0068,9.99
2480,1635,0.0270,56.82
2483,2141,0.0135,24.92
2498,1030,0.0405,15.33
2501,2538,0.0203,56.82
2502,1117,0.0405,139.96
2503,1875,0.0676,318.99
2507,2728,0.0068,49.96
2512,296,0.2297,489.63
2522,2273,0.1284,222.05
2526,2770,0.0135,37.83
2527,723,0.0135,11.19
2531,1665,0.0541,24.32
2532,226,0.1284,139.27
2534,1906,0.0068,62.50
2538,757,0.1757,237.86
2543,2386,0.0068,24.99
2559,1296,0.0743,208.35
2565,1562,0.0473,140.65
2568,2465,0.0068,16.66
2573,1240,0.1216,141.74
2578,417,0.3243,704.45
2580,1982,0.0203,65.76
2584,120,0.0676,101.33
2594,710,0.0068,31.50
2595,490,0.0338,92.33
2596,1492,0.3176,685.88
2599,2660,0.0203,45.77
2606,123,6.7432,4931.25
2607,2375,0.0068,9.59
2610,1663,0.0405,167.36
2625,295,0.0811,356.01
2628,1534,0.2365,532.81
2635,2234,0.0405,114.42
2638,1846,0.0270,26.74
2639,802,0.0541,108.65
2647,2593,0.0203,73.07
2650,194,0.1757,237.28
2652,2630,0.0608,90.32
2659,2274,0.0135,112.42
2669,420,0.2500,248.15
2670,1234,0.0743,105.03
2677,1313,0.2568,202.56
2685,339,0.0473,41.66
2688,450,0.5068,1071.74
2693,2471,0.0676,87.61
2696,756,0.0405,-7.28
2697,763,0.0541,86.95
2701,2509,0.2297,475.17
2702,2238,0.0068,41.92
2710,1845,0.0135,31.45
2714,635,0.1757,291.49
2715,704,0.0608,247.83
2716,2612,0.0405,248.51
2717,572,0.0270,56.83
2719,2698,0.0135,27.23
2723,2226,0.0608,93.90
2724,2663,0.0135,44.30
2737,1502,0.0676,114.97
2743,539,0.0473,49.42
2745,2683,0.0743,106.86
2754,828,0.0473,72.79
2759,442,0.1216,520.96
2760,1931,0.0068,140.18
2762,2660,0.0203,139.18
2770,1639,0.0473,155.86
2780,2686,0.0743,403.85
2782,536,0.0405,33.30
2787,1777,0.0338,23.38
2790,1561,0.2365,348.90
2795,2627,0.0068,65.25
2801,121,0.6554,1428.18
2802,717,0.0473,93.55
2804,576,0.0068,7.09
2805,2812,0.0068,49.79
2809,2847,0.0270,90.27
2814,2214,0.0676,142.91
2815,1307,0.0338,136.15
2817,115,0.0608,227.25
2818,332,0.4189,506.86
2829,2113,0.0473,101.69
2836,800,0.0473,106.63
2837,2800,0.0270,115.50
2847,2060,0.0135,88.90
2849,150,0.2297,463.32
2850,2279,0.0068,54.92
2852,1522,0.2095,460.21
2855,2783,0.0068,24.58
2856,2663,0.0068,49.92
2862,159,0.8649,747.01
2864,2197,0.0338,189.93
2866,357,0.1622,466.47
2868,893,0.2095,255.26
2870,1056,0.0135,18.39
2875,2560,0.0270,73.39
2877,1693,0.0270,16.63
2887,1667,0.0743,272.73
